1;ToyStory;Toy Story 5 es una película de comedia dramática y aventura animada estadounidense producida por Pixar Animation Studios para Walt Disney Pictures. La película, siendo la quinta entrega principal de la serie de películas de Toy Story y la secuela de Toy Story 4, está escrita y dirigida por Andrew Stanton.;Ciencia Ficcion;123;P;ToyStory.jpeg;6.0
2;Interestellar;Gracias a un descubrimiento, un grupo de científicos y exploradores, encabezados por Cooper, se embarcan en un viaje espacial para encontrar un lugar con las condiciones necesarias para reemplazar a la Tierra y comenzar una nueva vida allí.;Ciencia Ficcion;169;PG-13;Interestellar.jpeg;6.0
3;Evil Dead Burn;Tras de la pérdida de su esposo, una mujer busca consuelo con sus suegros. A medida que uno a uno se transforman en deaítas, ella llega a descubrir que los votos que tomó en la vida - perviven incluso en la muerte;Terror;110;R(mayores de 18 años);Evil.jpeg;6.0
4;Minions & Monstruos;Los Minions se embarcan en un viaje para encontrar criaturas aterradoras que aparezcan en su película de monstruos.;Animacion;91;PG;Minions.jpeg;6.0
5;Scary Movie 6;Veintiséis años después de escapar del asesino original, Cindy Campbell y su grupo se reúnen para detener a un nuevo lunático que amenaza a la hija de Cindy. El caótico viaje incluye parodias de éxitos de terror moderno como Smile, M3GAN, La sustancia, Sinners y Terrifier.;Terror/Comedia;95;D;Scary.jpeg;6.0
6;Superman;El multimillonario tecnológico Lex Luthor aprovecha la oportunidad para quitarse de en medio definitivamente al Hombre de Acero. ¿Podrán la reportera Lois Lane y el compañero de cuatro patas de Superman, Krypto, ayudarle antes de que sea tarde?;Acción/Ciencia ficción;130;PG-13;Superman.jpeg;6.0
7;Eterno resplandor de una mente sin recuerdos;Parecían la pareja ideal, su primer encuentro fue mágico, pero con el paso del tiempo ella deseó nunca haberlo conocido. Su anhelo se hace realidad gracias a un polémico y radical invento. Sin embargo descubrirán que el destino no se puede controlar;Romance/Ciencia ficción;108;B15;Eterno.jpeg;6.0
8;Rápidos y furiosos: 5in control;En Río de Janeiro, Dominic Toretto y Brian O'Conner reúnen a su pandilla de corredores callejeros para llevar a cabo un atraco, mientras están en la mira de un poderoso narcotraficante brasileño y un peligroso agente federal.;Acción/Crimen;130;PG-13;Rapidos.jpeg;6.0
9;Alien vs. depredador;Dos razas alienígenas se enfrentan a muerte en una pirámide enterrada bajo el hielo de la Antártida. Poco importa quién gane, perderá la humanidad.;Ciencia ficción/Acción;101;R;Alien.jpeg;6.0
10;¿Qué pasó ayer?;Tres amigos se despiertan de una despedida de soltero en Las Vegas, sin el recuerdo de la noche anterior y sin su amigo soltero. Ellos deberán caminar por la ciudad para encontrar a su amigo antes de su boda.;Comedia/Aventura;100;B15;Que.jpeg;6.0
11;Soy leyenda;Tras una guerra biológica, Robert Neville es el único sobreviviente en la Tierra, pero él no está solo. Otros humanos se han convertido en vampiros y están sedientos de su sangre. Neville deberá esconderse para intentar buscar una cura.;Terror/Acción;101;PG-13;Soy.jpeg;6.0
12;2012;Roland Emmerich dirige este thriller apocalíptico basado en la profecía del antiguo calendario maya según la cual el mundo llegaría a su fin en 2012.;Acción/Ciencia ficción;159;PG-13;2012.jpeg;6.0
